wid,stimulus,button_pressed,view_history,questions,responses,correct,block,delays,score,trial_time,path,state_rewards,trial_index,key_press,clicks,n_clicks,stim_i
wcacd23b,,,,,,,training,[],29.0,13853.0,"['0', '5', '6', '8']","['', -4, -4, -48, -48, -2, -8, 24, 48, 2, 4, -24, -48]",6,,"[9, 1, 5, 11, 12, 4, 3, 7, 8]",9,20
wcacd23b,,,,,,,training,[],9.0,21141.0,"['0', '1', '2', '3']","['', -2, -4, 24, -48, -4, 8, -24, -24, 4, -4, -48, 24]",7,,"[9, 1, 11, 12, 5, 7, 8, 4, 3]",9,46
wcacd23b,,,,,,,training,[],46.0,16498.0,"['0', '9', '10', '11']","['', 2, -4, 24, -24, -2, 8, 24, 48, 4, -4, 48, 48]",8,,"[9, 11]",2,51
wcacd23b,,,,,,,training,[],50.0,9796.0,"['0', '1', '2', '4']","['', 4, 4, -48, 48, -2, 4, -48, -24, -2, -4, -48, 24]",9,,"[1, 11, 9, 5, 3, 4]",6,0
w909b325,,,,,,,training,[],10.0,31410.0,"['0', '9', '10', '11']","['', 4, 8, -24, 48, 2, 8, -48, -48, 2, -4, 24, -48]",0,,"[2, 1, 11, 9, 5, 8, 12, 10, 6, 7, 4, 3]",12,9
w909b325,,,,,,,training,[],42.0,17730.0,"['0', '9', '10', '11']","['', 4, -4, -48, -48, 4, 8, 24, -24, -2, 8, 48, -48]",1,,"[5, 7, 6, 8, 9, 12, 10, 11, 4, 2, 3, 1]",12,44
w909b325,,,,,,,training,[],42.0,14916.0,"['0', '9', '10', '12']","['', -4, 4, 24, 24, -2, -4, 48, -24, -4, 8, -48, 48]",2,,"[5, 7, 6, 8, 9, 10, 11, 12, 1, 4]",10,4
w909b325,,,,,,,training,[],51.0,10385.0,"['0', '9', '10', '12']","['', 2, 4, 24, -24, 4, 8, 24, -24, 4, 4, 24, 48]",3,,"[5, 9, 10, 11, 12]",5,15
w909b325,,,,,,,training,[],32.0,8769.0,"['0', '9', '10', '12']","['', -4, 4, 24, -24, -2, 4, 48, -24, -4, -8, -48, 48]",4,,"[5, 9, 10, 12]",4,52
w909b325,,,,,,,training,[],44.0,11905.0,"['0', '9', '10', '11']","['', 2, 4, -48, -24, -4, -8, 24, -48, -2, 8, 48, -24]",5,,"[10, 9, 5, 6, 2, 1, 3, 4, 12, 11]",10,49
w909b325,,,,,,,training,[],27.0,8398.0,"['0', '9', '10', '12']","['', -2, -4, -48, -48, 2, -8, -24, -24, 2, 4, 24, 24]",6,,"[9, 10, 12]",3,33
w909b325,,,,,,,training,[],52.0,9832.0,"['0', '9', '10', '12']","['', 2, -8, -24, 48, -2, -4, -24, -24, 4, 8, 24, 48]",7,,"[5, 6, 8, 2, 1, 9, 10, 12]",8,53
w909b325,,,,,,,training,[],44.0,9710.0,"['0', '5', '6', '8']","['', 2, 4, -24, 48, -4, 8, -48, 48, 2, -4, 24, -24]",8,,"[9, 10, 12, 11, 5, 6, 7, 8]",8,28
w909b325,,,,,,,training,[],12.0,12148.0,"['0', '9', '10', '11']","['', 2, 8, -48, -24, 2, 8, -24, -48, 4, -4, 24, -48]",9,,"[9, 10, 11, 12, 5, 6, 8, 7, 1, 2, 4, 3]",12,11
w6c8a977,,,,,,,test,[],55.0,62049.0,"['0', '23', '24', '25', '26', '27']","['', 0, 0, 0, 11, 45, -48, 4, -10, -43, 19, -27, -3, 1, 5, 16, -13, 46, -84, -8, 17, 15, 42, 1, 0, 6, 5, 55, -26, 10, -3, 26, -7, -8]",0,,"[16, 21, 32, 27]",4,54
w6c8a977,,,,,,,test,[],22.0,80186.0,"['0', '12', '13', '14', '19', '21']","['', -1, 1, 2, 3, -24, 1, 39, -1, 14, 53, 61, 2, 0, 0, -1, -16, -5, -45, 5, -9, 36, 34, 1, -2, -1, -6, -50, -21, -25, 9, -88, 16, -8]",1,,"[21, 20, 14, 32, 27, 9, 5]",7,55
w6c8a977,,,,,,,test,[],77.0,73291.0,"['0', '1', '2', '3', '8', '9']","['', 1, 1, 1, 8, 18, -3, 30, 2, 93, 35, 37, 1, 0, 5, 0, -27, -18, 17, -12, 7, -23, 23, -1, 4, 3, -10, 56, -7, -23, -8, 18, 48, -19]",2,,"[21, 16, 17, 20, 6, 5, 9]",7,56
w6c8a977,,,,,,,test,[],44.0,47464.0,"['0', '1', '2', '3', '4', '5']","['', -1, -1, 3, 11, 47, -18, -4, -7, 33, -53, -44, -1, 1, -1, 0, 2, 7, -33, -3, 18, 9, 35, -1, 2, 6, -1, 9, 7, 17, 3, 47, 16, 28]",3,,"[9, 5, 27, 32, 21]",5,57
w6c8a977,,,,,,,test,[],4.0,75609.0,"['0', '23', '24', '25', '26', '27']","['', -2, -3, 2, -4, -10, -1, -63, 1, 0, -1, 11, -2, 4, -1, -11, 4, -41, 2, 4, -42, 27, 4, 0, 1, 2, 9, 28, 16, -24, 2, -18, -46, -1]",4,,"[21, 20, 17, 16, 6, 5, 9, 11, 27, 29, 33, 32]",12,58
